ET_ID,CVE_MUNICIPIO,total_sv_feb,total_sv_mar,total_sv_abr,total_sv_may,total_sv_ju,total_sv_jul,total_sv_ago,total_sv_sep,total_sv_oct,total_sv_nov,total_sv_dic,total_sv_total,total_sv19_total,total_sv_total,total1920,19mdp,20mdp,1920mdp
11030,11030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
15033,15033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
16014,16014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
20184,20184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
28009,28009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
28021,28021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,,10000,10000,,10,10
10007,10007,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,10000,15000,100000,15000,115000,100,15,115
8037,8037,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,5000,15000,85000,15000,100000,85,15,100
9002,9002,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,10000,15000,40000,15000,55000,40,15,55
13030,13030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,,15000,15000,,15,15
16066,16066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,,15000,15000,,15,15
20385,20385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,,15000,15000,,15,15
29005,29005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,,15000,15000,,15,15
31006,31006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,,15000,15000,,15,15
21156,21156,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,120000,20000,140000,120,20,140
28032,28032,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,100000,20000,120000,100,20,120
30087,30087,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,100000,20000,120000,100,20,120
30107,30107,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,100000,20000,120000,100,20,120
30146,30146,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,100000,20000,120000,100,20,120
30177,30177,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10000,20000,100000,20000,120000,100,20,120
12050,12050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,20000,,20000,20000,,20,20
12078,12078,NA,NA,NA,NA,NA,NA,10000,NA,NA,10000,NA,20000,,20000,20000,,20,20
21068,21068,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,10000,25000,150000,25000,175000,150,25,175
8031,8031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,25000,,25000,25000,,25,25
10022,10022,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,15000,30000,150000,30000,180000,150,30,180
30105,30105,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,15000,30000,150000,30000,180000,150,30,180
30206,30206,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,15000,30000,150000,30000,180000,150,30,180
30138,30138,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,15000,30000,140000,30000,170000,140,30,170
13004,13004,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,NA,30000,,30000,30000,,30,30
21160,21160,NA,NA,NA,NA,NA,10000,5000,5000,5000,5000,NA,30000,,30000,30000,,30,30
28004,28004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,,30000,30000,,30,30
31036,31036,NA,NA,NA,NA,NA,10000,5000,5000,5000,5000,NA,30000,,30000,30000,,30,30
31080,31080,NA,NA,NA,NA,NA,10000,5000,5000,5000,5000,NA,30000,,30000,30000,,30,30
8017,8017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,,35000,35000,,35,35
28012,28012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,,35000,35000,,35,35
