CVE_MUNICIPIO,feb,mar,abr,may,ju,jul,ago,sep,oct,nov,dic,total
7062,4885000,4855000,4880000,4860000,5000000,5010000,4975000,4970000,4970000,4915000,4775000,54095000
7065,36265000,35965000,35850000,36460000,36765000,36665000,36165000,36290000,36290000,36045000,36130000,398890000
7066,4445000,4345000,4350000,4330000,5090000,4970000,4955000,4965000,4965000,4880000,4610000,51905000
7067,4100000,4085000,4075000,4140000,4140000,4220000,4140000,4130000,4130000,4055000,3940000,45155000
7068,2085000,2075000,1965000,1895000,2010000,2300000,2265000,2260000,2260000,2230000,2065000,23410000
7069,1975000,1980000,1980000,1985000,2015000,1980000,1960000,1960000,1960000,1960000,1965000,21720000
7070,2490000,2465000,2470000,2500000,2525000,2500000,2490000,2490000,2490000,2490000,2490000,27400000
7071,5340000,5335000,5340000,5350000,5035000,5295000,5275000,5275000,5275000,5275000,4965000,57760000
7072,15000,15000,15000,15000,115000,15000,15000,15000,15000,15000,115000,365000
7073,1670000,1660000,1650000,1690000,1715000,1685000,1670000,1635000,1635000,1580000,1570000,18160000
7074,1535000,1520000,1515000,1470000,1450000,1615000,1580000,1570000,1570000,1520000,1325000,16670000
7076,5125000,5105000,5075000,5090000,5065000,5070000,5055000,5055000,5055000,4930000,4890000,55515000
7077,14190000,14095000,14110000,14285000,14325000,14250000,14175000,14130000,14130000,14050000,13965000,155705000
7079,1935000,1935000,1940000,2000000,2025000,1990000,1985000,1965000,1965000,1960000,1960000,21660000
7080,8960000,8945000,8950000,8980000,8940000,8835000,8810000,8810000,8810000,8805000,8805000,97650000
7081,4720000,4680000,4685000,4665000,4685000,5215000,4890000,4990000,4990000,4970000,4965000,53455000
7082,2880000,2840000,2840000,2855000,2665000,2655000,2650000,2650000,2650000,2645000,2640000,29970000
7084,2420000,2400000,2450000,2540000,2550000,2520000,2485000,2520000,2520000,2490000,2390000,27285000
7087,1755000,1755000,1680000,1715000,1560000,1685000,1675000,1675000,1675000,1675000,1505000,18355000
7088,520000,520000,520000,510000,540000,525000,535000,535000,535000,530000,545000,5815000
7089,10950000,10795000,10780000,10940000,12120000,10945000,10780000,10775000,10775000,10765000,11895000,121520000
7090,1915000,1910000,1910000,1895000,1905000,1925000,1925000,1925000,1925000,1925000,1925000,21085000
7091,1350000,1345000,1345000,1345000,1295000,1410000,1390000,1380000,1380000,1380000,1285000,14905000
7092,11620000,11575000,11585000,11735000,11800000,11800000,11665000,11680000,11680000,11565000,11190000,127895000
7096,2605000,2605000,2550000,2570000,2615000,2570000,2555000,2555000,2555000,2525000,2535000,28240000
7097,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
7099,5000,5000,5000,5000,NA,5000,5000,5000,5000,5000,NA,45000
7100,555000,545000,545000,550000,540000,545000,545000,545000,545000,545000,540000,6000000
